,CASP biorep1 400min,CASP biorep1 511min,CASP biorep1 621min,EXP biorep2
ydhL,660,630,594,54
araA,320,243,345,4242
mmuP,174,139,103,58
rhtA,50,24,45,120
gap,18886,29585,22100,3770
recF,101,43,34,961
yhiD,340,10,10,143
hisD,378,109,118,1506
HQ24_RS20145,640,374,687,494
yafP,75,23,29,54
ydcH,250,797,653,165
glnH,1787,1931,1624,7814
rpsE,1760,5123,1940,25056
dgcN,170,37,40,233
rsmS,9,5,8,10
dgoA,59,32,40,36
hybA,31,37,49,197
ftsN,570,405,310,967
mlaA,1443,2016,1511,581
sfsA,6915,4730,9245,639
yqiK,51,22,43,111
yaaY,173,145,139,33
ycaP,689,422,424,122
yafO,292,70,133,98
ybbW,91,108,92,11
fetB,100,41,64,81
truD,344,187,164,1348
rpoA,4928,5116,2793,60223
rapA,1864,2039,1115,1347
bglF,14,7,13,11
dgcT,46,34,36,45
sirB2,55,22,24,109
ubiF,4088,9528,8104,526
fetA,58,25,40,66
hflC,1946,1588,1281,3557
mdlA,639,592,500,330
napA,52,40,35,539
yddB,44,37,28,80
HQ24_RS02030,222,147,127,41
nudB,385,339,272,1302
ubiU,13,13,8,15
HQ24_RS05510,10,5,3,15
topA,2017,1675,1815,7318
ygjI,384,74,177,124
metL,271,389,238,1339
phnN,41,73,55,7
recD,400,635,654,885
nanC,30,37,55,44
cirA,240,238,199,4940
atpI,173,153,98,1565
ykfI,5,1,4,3
HQ24_RS26610,76,42,40,72
yobH,186,83,121,176
folB,15,12,21,62
slmA,88,65,53,718
nadC,221,396,248,577
yciE,554,107,201,96
frvA,9,12,10,2
traX,210,161,118,1244
yieH,68,43,54,258
yjiA,95,167,113,365
ybbJ,813,1093,1407,161
yfcS,6,3,2,11
gcvT,153,827,1059,13558
poxB,5924,1848,2959,994
ybaA,7370,2330,4213,123
alsB,139,54,78,212
dtpD,682,105,88,87
ahpC,1224,1099,1104,8556
eptA,258,208,223,47
yegS,3002,3846,3236,592
cysT,51,84,54,152
cbrB,19,9,9,2186
coaE,1093,1199,1096,336
nfeF,139,432,236,420
yajG,129,323,198,1425
menB,1044,989,632,1236
HQ24_RS19635,74,70,85,32
nikD,12,5,4,14
tauB,16,8,4,0
ydgT,22,46,26,150
xapA,50,27,30,19
yhhY,156,121,104,90
nrfC,11,8,2,13
rplT,7593,11427,4891,22110
ruvX,119,76,48,684
lpxM,581,438,360,794
ydaV,116,76,124,23
ytfK,6801,7905,5365,1590
mliC,29,45,30,75
pitB,53,23,18,32
prmA,762,733,601,708
ybhL,6491,7967,11899,508
ascF,814,1150,1276,171
yajQ,1054,1615,1219,701
trmA,3065,1969,2768,1004
rcsC,897,450,427,1581
xseB,136,142,93,414
yfcQ,9,5,4,5
metN,162,142,93,354
HQ24_RS06225,19,28,13,14
recG,276,45,38,1223
yfeD,282,264,328,463
ygeW,56,13,36,13
hypE,777,472,370,299
murR,38,73,79,55
wcaM,60,31,9,116
mocA,2487,831,1499,177
xapB,96,68,63,84
HQ24_RS01105,6,0,3,1
bioP,62,59,43,427
ybhP,1210,826,837,137
ycaL,63,52,67,37
mcrC,14,12,9,96
yraP,242,231,120,944
lapA,660,603,448,407
bacA,339,180,151,493
hycA,2,0,2,5
HQ24_RS26670,77,54,70,69
ydfA,33,36,42,4
xylA,1571,1664,1712,202
iraD,46,39,29,7
asmA,631,472,393,1565
minE,164,260,162,908
hupA,1136,4674,2555,7168
moeB,212,273,209,339
phnC,17,6,6,1
yoaH,105,95,120,138
agaI,16,4,4,20
HQ24_RS10290,380,150,255,30
rnpB,370594,403508,342610,83537
lpoB,1511,2183,1445,689
pgpA,434,270,235,513
espL4,5,1,0,10
yicN,145,93,73,85
ptrB,2769,1081,2034,705
mdtL,12,5,9,136
yibQ,166,100,69,682
mmuM,356,329,282,343
sapB,523,1059,1054,275
ppk1,1747,1020,1355,2032
frmA,1307,1831,1077,526
dprA,444,348,371,204
lpxB,331,101,68,1919
HQ24_RS10755,160,95,105,231
ygbA,116,72,116,56
ybiR,419,300,317,543
nemA,365,144,206,508
aroE,1338,1141,1153,1027
HQ24_RS01865,799,723,581,541
arnA,798,73,93,639
Spc,12314,8342,8445,12940
HQ24_RS13400,234,125,70,1735
cytR,276,195,118,958
menC,992,527,347,1320
narG,128,124,107,123
yagK,98,87,65,38
rfaQ,670,802,677,1088
eutR,87,81,67,104
yfjD,162,68,45,838
yjeH,183,120,96,210
ypdC,498,358,315,203
recX,190,180,172,178
trmJ,663,907,661,1187
ygdR,1820,1254,1051,258
appB,151,51,63,44
yqjC,1766,2679,2428,1578
yiaL,7,5,2,22
livF,53,39,47,1136
yoaA,148,107,83,1378
ygbI,505,472,403,425
bfd,1635,844,1210,171
fumC,2471,1242,2346,3207
acpT,622,357,255,416
yneE,34,18,17,56
yecH,423,274,462,5
ypdA,538,572,540,266
HQ24_RS04370,25,25,27,81
fdx,156,73,57,1045
amtB,163,105,141,130
HQ24_RS12615,12,18,9,7
yaaJ,349,160,221,121
thpR,34,20,16,102
HQ24_RS07560,3,4,1,0
eamB,204,195,188,41
torR,56,102,91,89
ydfI,98,89,96,50
atoA,10,4,7,1
pntB,1578,914,1398,4948
ushA,1374,2532,2309,1038
ccdB,593,541,706,294
camR,459,417,368,6200
rpnB,129,124,130,130
yceG,181,152,152,385
yjiC,9,7,9,2
rnlA,1316,717,732,1223
yiaY,7,6,4,3
phnJ,1,4,1,2
aroL,86,107,74,520
ydbD,273,137,165,108
mtnN,520,989,841,1146
igaA,382,246,226,1514
rplV,517,892,325,18714
pinQ,75,57,59,98
yedD,314,290,216,514
gatY,61591,73235,71227,44601
osmE,8711,14049,16778,1405
thiM,17,18,15,130
srlB,73,20,73,48
HQ24_RS15225,551,35,116,691
ghoT,42,25,29,6
HQ24_RS15195,13,3,8,112
lnt,774,122,174,2047
yebB,15,20,18,11
glnE,976,370,408,1835
mlrA,3413,2897,1501,395
yjcH,712,662,609,2908
znuC,277,248,286,440
yfhR,3,2,5,28
yeaQ,1309,441,773,120
livG,61,26,32,1384
wbbL,297,225,231,1816
flgC,4,3,4,5137
HQ24_RS05130,26,12,20,59
sdiA,1960,1741,2246,820
yidD,15,14,5,861
prlC,5091,6104,6260,1933
hyi,73,36,43,11
ptsP,998,756,597,4621
araH,775,176,475,812
HQ24_RS26110,1,0,1,2
sspA,1906,3236,2210,3289
HQ24_RS18585,281,375,332,960
yagA,35,24,16,5
HQ24_RS01915,164,82,92,263
ttdA,11,7,7,15
nrdB,391,282,293,1252
pinR,83,48,53,93
HQ24_RS14985,83,23,18,43
ruvA,344,467,317,713
traA,1205,1005,721,20955
ivy,87,195,163,357
HQ24_RS18155,256,377,310,665
kefF,152,183,139,110
rsfS,43,60,32,446
hofC,32,29,18,39
ycaK,10,6,7,15
sspB,956,1080,672,1786
yigA,283,256,121,797
pbpG,629,472,414,628
HQ24_RS12355,231,88,101,1153
HQ24_RS21030,195,117,67,1581
ftsY,691,1207,818,1763
yhcD,201,119,126,119
uspD,3291,4513,3562,196
yibB,235,69,98,341
HQ24_RS00100,23,22,14,92
yifL,196,315,223,344
HQ24_RS19965,3,1,0,8
rmf,18833,18266,19529,1065
yadC,139,85,134,38
HQ24_RS19130,1256,1099,3674,17
HQ24_RS26175,0,0,0,1
katG,2589,2116,2003,3681
HQ24_RS26060,1,2,1,2
purM,32,33,24,5966
ompW,124,144,121,198
ybjC,46,86,55,47
fliC,3236,2156,2223,58349
cas2e,29,12,18,42
mtr,318,135,114,2983
yciF,669,182,215,61
csdA,290,400,235,587
ynjE,165,103,111,88
HQ24_RS10760,259,49,47,3691
ptsH,2251,4268,2864,4451
HQ24_RS03855,152,57,61,778
ulaR,174,218,187,153
ybcI,38,64,41,45
menF,2384,672,662,1411
yihT,20,21,19,31
yniB,2856,1779,2984,335
pdeR,3890,2961,3177,1445
lgoR,190,92,110,193
menA,181,376,221,358
pepN,4775,4222,4905,7287
HQ24_RS26600,4,1,5,2
fecD,15,16,16,40
nrdF,1224,70,109,166
hemP,25,26,14,110
moaB,413,249,322,433
fxsA,438,524,443,100
pphB,22,7,19,15
zntA,517,292,425,629
ybfA,45,99,110,7
maa,487,213,254,436
argF,1018,81,67,118
HQ24_RS08565,2,1,2,0
alkB,324,259,270,59
mdlB,341,208,206,293
xdhA,216,90,139,304
ydgA,7580,5369,8380,3932
mutT,12,6,6,120
gpmM,1823,3501,2641,1127
edd,130,146,128,459
dosP,11212,407,2223,1121
cfa,20122,3402,6952,1767
plsY,647,728,546,493
rsmF,106,53,40,438
yegL,15,14,12,21
crr,16292,41653,28376,6725
gsiD,150,34,35,167
pdeI,19,18,14,55
yciY,43,44,53,91
yhcO,919,725,604,76
zapD,917,874,803,545
HQ24_RS23180,9,11,4,89
yhbW,1857,577,785,409
tsaA,114,121,108,581
yqhG,112,43,38,43
HQ24_RS14705,4,3,1,3
HQ24_RS18255,22,23,17,92
HQ24_RS26675,311,57,132,111
yfbU,957,1525,1190,665
panF,304,257,188,464
yfcD,469,610,366,959
HQ24_RS03875,30,17,7,204
acrR,29,26,19,142
qmcA,1223,2430,3761,229
feoB,871,1166,994,1288
fepA,366,336,287,2974
pflA,1346,863,1816,556
ampH,753,481,356,1175
appC,303,86,131,86
fryB,1,0,0,7
HQ24_RS11730,10,5,13,8
rna-HQ24_RS01020,1406,200,4327,1386
cysG,408,729,492,727
potB,47,26,24,666
rhsC,164,105,171,121
sodA,10856,6579,7286,8827
HQ24_RS20150,326,341,294,490
pheL,88,36,39,41
ldtE,12139,18719,27067,367
mreC,293,95,80,3193
prmC,69,20,20,395
yehC,0,0,2,2
HQ24_RS26635,36,27,18,63
yfhb,1458,861,671,419
ygcP,9,6,8,49
yigZ,414,145,161,433
folE,544,272,252,2370
HQ24_RS14960,154,66,71,76
aroK,882,1013,679,3168
cusB,59,45,38,22
lrp,1064,979,539,2808
dppB,18,13,16,2949
cpdA,1297,2580,1355,2327
mukF,223,129,92,1420
rppH,295,234,247,1237
pgaA,102,62,74,45
speE,253,337,299,1635
ylcG,0,2,0,0
dnaJ,1740,579,745,2627
ves,38,35,38,406
elfA,6,10,5,11
avtA,384,284,164,2335
ppiA,337,257,330,781
ivbL,407,896,615,126
pdeN,160,90,81,890
grcA,159,287,314,87
fdnG,17921,30141,33319,32683
htrE,104,66,81,13
selD,765,286,455,2287
ygaZ,71,29,30,887
frlA,6,16,14,17
HQ24_RS01875,8,4,3,4
can,549,578,386,1396
sra,4794,3524,3589,4367
accA,1497,2207,1651,3439
asd,1262,1066,887,4413
comR,161,109,130,354
fepD,114,57,53,323
wcaC,17,11,12,10
yhaC,1,1,1,12
maeA,1019,306,373,6371
ycbV,26,18,8,24
yqeI,17,13,13,29
HQ24_RS24085,2,4,0,0
traY,779,205,421,5182
yheU,175,336,227,74
lysR,114,102,100,134
HQ24_RS21070,48,24,15,406
chiP,53,24,43,182
glf,486,211,283,3276
HQ24_RS21065,14,11,12,6
rseC,905,153,155,1486
fimZ,8,7,5,15
putA,118,78,72,80186
HQ24_RS26785,9,3,9,6
caiT,14,9,10,12
HQ24_RS26825,41,22,13,15
def,7285,7716,11413,1329
azoR,53,122,106,194
apt,116,82,49,1290
fdhF,241,345,259,264
gspB,79,52,60,26
msyB,2460,1043,1811,512
yhdX,283,56,78,416
mtgA,174,47,43,424
opgB,483,372,574,1835
yeeO,1611,537,922,267
HQ24_RS01200,13,13,10,5
rcnB,183,118,153,118
nrdD,5358,5096,4435,307
ycfJ,70,116,194,42
sodC,4864,2705,4402,410
eutE,4,5,4,19
rhaT,165,206,193,51
yhbO,1435,750,1115,66
murB,286,145,137,660
yqhD,237,142,154,121
HQ24_RS01695,13,7,8,5
HQ24_RS11290,260,345,282,991
HQ24_RS14970,2775,2734,1644,2745
smrB,352,341,348,387
HQ24_RS03020,226,89,67,1065
yfjX,1,0,1,0
fabY,1212,898,673,1258
sgcR,222,161,167,56
yagG,226,114,180,93
hybO,144,152,147,256
rimI,337,259,262,244
rlmI,137,269,205,714
truB,775,361,401,1768
ybiX,68,37,42,303
yiaT,237,195,263,25
ycjO,11,9,8,24
HQ24_RS22685,44,23,20,34
thiD,29,61,49,91
napB,10,2,5,48
paeA,613,558,460,846
yfeH,289,634,504,366
opgD,664,471,408,2938
lpxL,552,814,778,534
pspA,2715,17686,14787,418
yfbV,3830,3321,5973,496
rplL,3451,5303,4028,21909
smg,6988,6155,5981,1691
hisB,312,123,116,1327
rluB,506,757,456,1163
scpB,17,6,12,30
ybjO,91,37,37,89
dksA,13923,13925,19993,3167
rfbB,549,495,467,3693
yaaX,16,5,10,56
gltD,167,47,28,1436
yaiY,55,29,39,9
ycfH,6679,4066,6171,834
gluQRS,196,170,157,417
HQ24_RS14930,19,17,12,5
araD,92,176,137,1276
ylbE,34,19,11,27
ybaV,15,12,13,75
ynbA,8,7,5,12
gcvA,343,287,244,472
HQ24_RS15095,11,4,7,430
ileS,1833,1678,1482,8350
narH,1826,169,229,542
ybfD,14,4,3,7
tehA,399,238,211,261
casA,103,62,66,61
gnsA,22,24,29,13
nfuA,1915,4248,2987,1919
pgmB,5,1,1,6
yiiM,860,1236,1194,250
nfi,389,109,105,575
ispE,719,461,273,2144
mnmG,194,232,161,2428
mreD,193,99,125,754
hypT,141,87,91,219
eptC,166,82,100,1563
yhbY,283,199,145,1209
kdsA,909,1242,867,1467
sslE,481,322,301,350
rcsA,19,12,9,333
HQ24_RS03625,12,33,34,6
HQ24_RS22985,91,78,82,19
ddpC,193,34,46,715
ybjP,1394,3204,2737,258
atpG,467,239,229,18273
mrr,110,109,89,270
ybjM,118,237,138,68
fabA,1499,1408,1678,7360
yrfG,870,736,597,564
ttdR,17,24,21,22
rplX,1567,3109,1524,18028
HQ24_RS07030,50,64,63,139
pflD,58,49,51,91
sufS,2667,609,1432,692
yjaG,357,463,290,610
tatE,869,276,480,566
rspA,68,134,105,212
rhsA,242,174,190,142
mngB,215,198,161,156
ybjX,1225,457,561,1572
yghA,2407,3186,3267,133
HQ24_RS22040,50,26,27,25
yegX,29,22,37,37
xylB,1477,1159,1433,220
ygiV,239,130,137,165
ldhA,1309,1619,1301,594
malX,113,290,215,689
folM,704,1089,765,569
HQ24_RS08110,267,223,176,216
rlmA,183,88,83,1076
nudJ,79,40,28,164
ydiK,2174,2631,1803,851
bglJ,96,51,45,12
fepG,17,11,8,324
hflD,85,45,49,1032
yahD,97,52,63,35
sgcQ,1358,523,977,66
tesB,1320,2303,1888,332
rpsO,773,480,504,6778
rplN,1110,2108,979,12729
dsbB,134,142,94,505
fruA,6990,11452,11617,2143
pphC,16,9,11,16
yqiA,284,343,168,1100
rbbA,142,75,106,778
truC,137,153,70,524
lysP,1282,1104,947,1365
ypdI,7,6,8,0
yqaB,333,275,214,549
yfeR,197,142,165,85
cyaA,7666,10846,11120,3405
copD,139,60,91,299
HQ24_RS07495,122,53,61,47
lpxA,933,593,394,2732
yiaF,3215,2064,1950,2118
hokE,10,5,5,6
mdtJ,8,24,28,241
malS,170,121,152,176
HQ24_RS06990,82,53,84,19
yeiR,111,78,35,364
yqeC,223,152,141,112
psiE,28,16,16,20
atpC,451,307,201,9082
HQ24_RS06115,605,714,739,36
gudP,34,51,50,38
uxuA,366,1181,904,958
alaC,1211,3713,4207,972
ydeN,61,17,35,731
apaG,1028,394,556,419
mrcA,156,204,152,1518
pncB,659,649,514,3343
fabI,2093,5161,3511,4965
dhaM,216,88,152,532
mraY,392,68,93,1196
HQ24_RS26640,12,14,11,9
fsr,146,90,101,252
HQ24_RS01525,11,11,5,10
hybC,346,238,228,626
yfdK,40,31,26,17
fbaB,7866,7465,7279,4284
yjdN,9137,4740,5426,135
yaaU,16,4,12,28
ldtB,904,852,815,1229
rhaB,6,3,2,6
setC,27,14,16,15
znuA,438,699,588,1274
yccS,313,154,139,539
pncC,103,157,95,440
ubiD,1229,1773,1278,2895
maoP,719,549,313,745
HQ24_RS03440,11,9,13,179
curA,2780,3057,2767,548
dusC,104,95,84,286
aroM,871,326,305,545
yjhP,37,20,22,172
gloC,812,654,466,2898
ytfP,331,297,286,501
HQ24_RS03865,72,22,30,371
phoA,233,277,226,1222
pyrB,5,7,3,1507
ycaI,183,156,137,128
yidL,56,56,67,41
nimR,172,175,151,107
yedA,57,62,40,211
yphC,225,52,70,135
baeR,469,441,423,192
bcsQ,521,248,185,365
yafD,3663,4929,4792,486
yejL,345,684,545,323
ebgC,127,77,118,56
fliH,15,11,9,5071
csiD,3521,2044,3839,300
ybjS,118,40,43,551
pdxB,900,1305,934,1554
fruK,2898,4184,4065,914
kefC,605,514,389,525
